,R1_15-1,R1_15-2,R2_15-1,R2_15-2,R3_15-1,R3_15-2,R4_15-1,R4_15-2,R1_20-1,R1_20-2,R2_20-1,R2_20-2,R3_20-1,R3_20-2,R4_20-1,R4_20-2,R1_25-1,R1_25-2,R2_25-1,R2_25-2,R3_25-1,R3_25-2,R4_25-1,R4_25-2,R1_30-1,R1_30-2,R2_30-1,R2_30-2,R3_30-1,R3_30-2,R4_30-1,R4_30-2,R1_35-1,R1_35-2,R2_35-1,R2_35-2,R3_35-1,R3_35-2,R4_35-1,R4_35-2,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
883.443918328536/698.279994899108,18.26418,17.9495,17.93132,17.41423,18.63042,17.90005,17.94859,17.58534,17.44944,16.52642,16.97712,17.13057,16.94607,16.91762,16.86525,16.16368,16.11012,16.165,16.53707,16.35299,16.12826,16.15375,15.93031,15.96738,15.3549,14.64847,16.00415,15.88098,16.03525,15.4819,15.49124,15.26338,15.53517,15.47331,15.73541,15.42651,15.35998,15.32139,14.95999,14.90917,16.18096,16.30448,16.30582,16.00983,15.90985,15.66618
489.703108402721/568.135913882021,8.01509,8.12703,8.192524,8.013987,8.36289,8.729106,8.01364,7.58489,7.250254,7.575863,7.215579,7.551409,6.747689,7.215959,6.918671,7.129335,6.557549,7.201518,6.552472,6.999418,6.216913,6.949603,6.305211,6.893635,8.580283,9.010637,7.749205,7.48108,8.36359,8.531458,7.911659,8.168187,7.38957,7.714835,8.934149,9.301175,9.922307,9.953863,8.899108,8.763871,8.175045,8.371208,8.434713,8.866628,8.406082,8.224684
555.41054548297/798.286060475662,8.077373,8.357324,7.807242,8.57146,8.66547,9.649249,9.042243,8.641259,9.946189,10.109784,10.389717,10.650202,10.849355,10.862603,10.11647,10.04449,10.927192,11.101335,11.278941,11.399866,11.871139,11.733404,10.923844,10.769846,11.330764,11.183564,11.889961,11.927368,12.198403,12.221845,11.442827,11.350613,11.193212,11.284443,10.085111,10.219989,12.003471,12.050289,11.471142,11.511135,10.847976,10.651083,10.517066,10.794312,10.75086,10.882444
31.2702284695809/817.315467540924,11.484652,10.98882,12.929466,12.456746,10.142163,10.00261,11.923395,11.869731,11.49799,11.343146,11.752209,11.822604,11.330801,11.410228,10.943043,10.567418,10.245438,10.197305,11.076431,11.543363,10.180354,10.48951,10.589758,10.990678,10.238397,9.762423,10.50541,10.407797,10.245924,10.153694,10.387944,10.932169,10.137555,10.201512,9.838012,10.10363,9.145718,9.621712,9.555186,9.579405,10.767408,10.575121,10.358744,11.078495,10.96384,10.665359
541.483771073191/788.257942149377,7.858369,7.78415,8.853703,8.286061,8.801013,8.992139,8.384728,8.36889,9.12097,8.662416,9.001848,8.903249,9.799376,9.962055,9.63575,9.811108,8.952984,8.564127,9.275276,8.8719,10.254866,10.022432,9.42648,8.725744,9.864405,9.686854,9.271262,9.547852,10.167241,10.044417,8.970009,9.006668,8.74626,9.491693,7.835025,8.033009,9.901786,9.565859,9.012594,8.635622,8.889671,8.477635,8.577885,8.58178,9.119058,8.770582
522.547489099335/632.137024794581,8.682506,7.981182,7.973888,8.09342,8.161259,8.684019,9.331703,8.350031,8.074968,8.513123,7.530436,8.853413,7.217132,7.871035,8.109978,8.341343,8.685393,8.599732,8.098145,9.131065,8.038957,8.251453,8.575229,8.897795,8.406547,8.10599,8.511156,8.220395,8.338491,8.917959,8.562482,8.873672,9.039261,9.174881,8.915149,9.352585,8.437802,8.953097,9.219143,9.230477,8.556228,8.10978,8.39862,8.879977,8.178558,8.504789
31.2281752134624/1538.66255706651,10.244893,10.395069,12.033079,11.430637,9.754728,8.759449,11.623279,10.768385,10.625894,10.458154,11.376797,10.878767,11.592221,10.963277,10.250275,10.316801,9.948561,9.597942,10.376657,9.723001,10.31883,9.876335,10.162914,9.841116,9.392203,9.481095,8.939863,9.498909,8.97704,8.916146,9.375232,9.803534,9.506723,9.211815,9.559933,9.169931,8.203334,8.649104,9.349408,8.411316,10.196195,9.852725,9.782399,9.919627,10.210422,10.461844
355.561496132299/739.074971746468,7.834522,8.448953,7.917445,7.840659,8.36289,8.53963,7.399551,8.079388,8.703777,8.373028,8.428884,8.672346,8.981414,8.06726,7.904834,8.125239,9.588413,9.32585,9.321334,9.365253,9.886283,9.363644,8.299605,8.185716,9.966992,9.591418,10.176077,9.946191,10.40432,9.593002,8.821821,8.955779,9.67153,9.322758,10.338011,9.92256,9.884749,9.856296,8.658478,8.628606,9.214322,8.932198,9.185852,9.012668,9.012116,8.411004
672.524227744655/158.060835160831,7.613951,7.886027,7.973888,8.067425,9.378993,8.992139,8.106747,7.857,8.702068,8.465285,9.540977,8.599967,8.287486,7.972028,9.533721,9.465568,9.72423,9.353804,8.4097,8.318398,8.350582,8.700532,9.489714,9.501368,9.707547,9.094837,8.700038,8.597117,8.359105,8.346821,8.845755,8.655697,8.440527,8.321972,9.02396,8.664195,8.559478,8.593809,9.189244,9.004924,8.992139,8.71792,8.75726,8.465188,8.448643,8.921454
623.290330317982/778.318527860404,8.791846,9.226197,8.550072,8.373523,9.663748,9.67126,9.188358,9.067882,9.538962,9.844771,9.43163,9.44924,9.3312,9.425474,9.806773,9.83427,9.65453,9.967388,9.222678,9.367223,10.236851,10.229542,9.565241,9.664533,10.092918,9.828553,9.403966,9.437033,9.983322,10.06998,9.154982,8.765439,9.343224,9.472686,9.14811,9.223839,9.858955,9.990911,9.316522,9.248396,9.15729,9.403416,9.437672,9.158001,8.835677,9.28884
368.948774371231/553.069696723759,8.961039,8.96574,8.236918,8.071296,8.061725,8.514095,8.687332,9.079377,11.308692,11.031206,7.143434,6.609589,9.005641,9.285413,8.578746,8.233631,10.225686,10.183999,7.557433,7.321324,7.672695,8.014402,8.08698,8.447507,8.786116,8.861215,6.578071,6.316789,7.662787,7.903641,7.851838,7.54198,10.201149,10.488768,5.692957,5.947288,6.784017,6.396908,6.868351,7.032981,8.021231,8.672705,8.319575,8.726311,8.305917,8.029776
978.945600543106/762.581009969292,8.036152,8.233943,8.038364,8.192954,8.383648,8.694612,8.227761,7.960091,7.153007,7.259851,6.740713,7.292334,6.835804,7.510671,6.871373,7.362849,6.062897,6.646441,6.180685,7.550621,8.154064,7.582396,6.877281,7.184513,7.916731,7.726319,7.431748,7.530087,7.688194,7.867662,7.209592,7.575836,8.533039,8.02268,10.161594,10.257835,9.632646,9.817371,9.156116,8.774679,6.659057,7.044533,7.33011,7.736678,7.77635,7.688712
575.390229342277/777.396873178728,7.666811,7.950156,8.192524,7.777925,8.11235,7.99215,7.784827,7.561554,6.820894,7.259851,7.197878,7.470112,6.833835,7.099907,7.562486,7.761573,5.712132,6.686993,6.414993,6.956353,7.448088,7.023108,7.724485,7.669916,7.308526,7.376052,6.748276,7.162168,6.769941,7.0457,8.408526,8.676553,5.781405,6.198425,6.877665,7.013432,5.626514,5.89748,9.147881,10.141684,7.656703,7.647038,7.87016,7.739069,7.627162,7.749266
588.40173446923/1434.8392739542,7.858369,8.099016,8.236918,7.958493,8.185105,8.321452,7.592188,8.124475,6.677716,7.345576,6.740713,7.268489,6.632227,6.783909,6.849415,6.746043,5.518317,6.035057,6.192651,6.842708,6.130779,5.899195,6.182007,5.765583,6.041168,5.963416,6.119041,5.901875,5.279408,5.938997,6.86235,6.750825,6.240548,7.024681,5.585468,6.606091,5.651811,5.542174,10.455499,10.62129,6.087683,6.263481,6.237991,6.588748,6.38401,6.623873
1004.31429571854/622.367861479533,9.194937,8.766432,8.362447,8.566576,8.854274,9.539624,7.914106,8.820881,8.224635,8.386574,7.665361,7.665361,7.895176,7.827347,7.42643,8.514201,7.663958,7.871833,7.361466,8.091816,8.009087,8.175574,7.494435,7.8066,8.514862,8.473109,8.961621,9.431625,7.642265,7.138762,8.059444,8.08615,8.670892,8.306938,9.501819,9.34154,7.171848,6.94617,9.141263,9.415755,7.665361,7.263351,6.576093,7.108066,7.323783,7.344278
393.588703356291/518.181401610672,7.73499,7.886027,8.42134,8.067425,8.714342,8.514095,7.457264,7.68708,8.819918,8.957985,9.120079,8.683489,9.386301,8.678441,8.62756,8.814854,9.509345,9.446334,9.591634,9.587189,10.076989,10.227954,8.784267,9.046337,9.527345,9.596199,10.102331,9.773196,10.02958,9.957484,9.318385,9.189289,9.775978,9.437705,10.37034,9.98173,10.141762,10.228252,9.473821,8.917445,9.196866,9.179191,9.366789,9.484542,9.143184,9.71758
864.494365491365/366.300996014442,7.858369,7.886027,7.999883,7.777925,7.746231,7.794216,7.399551,7.561554,7.07501,7.47802,7.067491,7.142966,7.369126,7.318229,7.981709,7.739866,7.177768,7.668063,7.647608,7.595446,8.026931,8.556051,8.607003,8.570822,8.047399,7.883828,9.182107,9.344537,9.043091,8.398167,9.198742,9.161545,8.487623,8.714818,10.159854,10.225164,9.102858,9.117406,8.829839,8.851024,8.179348,8.296742,8.597361,8.461457,8.130074,8.950875
433.392176577919/676.086715525271,7.353915,7.981182,7.684389,8.118954,7.954812,8.13301,7.177172,7.528389,7.641503,8.060987,7.146839,7.916161,7.532617,7.7541,8.1854,8.901877,8.307151,9.226004,8.988214,8.83812,8.669501,9.12026,8.661404,9.056655,9.94903,9.630528,9.588661,9.482399,9.475712,9.692042,9.453314,9.744537,8.77174,9.361683,9.205479,9.702871,9.806099,9.560492,8.817307,9.339172,8.118954,9.134904,8.456911,9.20895,9.280849,8.937888
470.198297333299/607.169643388241,7.881827,7.918448,7.89297,7.986507,8.777923,8.321452,7.807194,7.231422,7.297388,7.071419,6.639443,7.219582,7.563461,7.169165,7.952041,7.176637,8.581509,8.751034,8.435326,7.988725,8.846765,8.159654,8.712164,8.510479,9.306064,8.504471,9.515333,9.156226,9.448616,8.647246,9.676907,9.424334,8.904553,8.132141,9.26916,9.61091,9.397689,9.480231,9.091382,8.29783,8.424898,8.024875,8.565181,8.144859,7.905666,7.550188
973.480393794545/910.432644334403,7.972023,8.357324,8.146721,8.067425,8.079147,8.589382,8.029466,7.984753,7.320107,7.774402,7.143434,7.168959,7.506623,7.351772,7.276196,7.31092,7.296805,8.363804,7.274297,7.748946,8.728919,8.880827,8.75167,8.810655,9.245808,8.813421,9.238506,9.117199,9.138907,9.232324,8.644892,8.40668,8.853204,9.386188,9.937895,10.380774,9.772111,9.711059,8.839857,9.322549,8.584969,9.345115,8.820228,8.84409,9.380182,9.143132
395.373915287486/566.163608609788,7.882122,8.30923,8.146721,8.168706,8.061725,8.434662,8.01364,8.079388,8.619554,9.020141,8.624083,8.961472,8.709264,8.240027,8.187005,8.498525,9.093464,8.83833,8.94021,9.159824,9.217999,9.242058,8.154307,8.429386,9.011439,9.031151,9.315391,9.554539,9.358679,9.568929,8.869562,8.766023,9.155799,8.842372,9.619932,9.859156,9.769188,9.671299,8.632313,8.644715,9.155689,8.63072,8.414208,8.514645,8.824253,9.104899
607.163541024191/820.336692820924,12.706215,11.82661,12.13266,11.546432,12.205497,11.606234,12.41462,11.871952,11.138734,11.158163,11.253226,11.097379,10.401871,10.248305,10.524884,10.558865,10.467507,9.998597,10.058981,10.126792,9.786793,9.466275,9.941342,9.595584,9.31355,9.148294,9.802957,9.280459,9.297865,9.364768,9.433535,9.134346,9.321324,9.196583,9.69863,9.532809,8.499017,8.725809,9.300979,9.422723,9.969619,10.069755,9.871495,10.233752,9.6579,9.969619
671.261137309827/366.165083847061,7.834522,8.492674,7.950432,8.040953,8.366442,9.198589,8.539701,8.220503,8.677625,8.539364,8.987546,9.323425,8.073975,8.256589,9.447602,9.527624,9.064577,9.316184,8.804626,8.66348,8.402834,8.604145,9.1672,9.212422,9.721259,9.359012,9.22997,8.868007,8.661079,8.855044,8.695491,8.84881,8.423442,8.117404,8.832639,8.571385,8.595973,8.367149,9.077908,9.036555,8.2677,8.787077,8.77649,8.640726,8.356253,8.876754
31.2361582705849/1173.73387451855,10.899396,10.36135,12.258829,11.785952,10.734657,10.066626,10.88263,10.854356,10.666913,10.662642,11.783228,11.425255,10.633033,10.391188,9.91641,10.196776,9.132745,9.171199,10.736622,10.531988,10.134389,10.109743,10.645761,9.755487,9.181991,9.782744,9.444039,9.150766,9.219968,9.383929,9.823142,10.342051,9.949862,10.138174,9.603468,9.902427,8.135546,8.868059,9.077048,9.217919,9.836013,9.368897,9.676347,9.879898,10.148436,10.205257
542.539296468099/786.261593963886,7.810276,7.981182,8.618784,8.263342,9.361768,8.684019,8.050953,8.934988,8.897001,8.721919,9.122273,9.1351,9.687525,9.490765,9.639702,9.055286,8.890546,8.496935,9.026843,8.533952,10.18219,9.741898,9.022335,9.133795,9.779702,9.64553,9.329648,9.446051,10.145568,10.311313,9.003513,8.881801,8.999835,9.528133,7.772993,7.82151,9.748671,9.60277,8.690481,9.039004,9.333672,8.693767,8.757091,8.527415,8.536264,8.755121
611.326913934005/357.128193669771,8.387053,9.055937,7.550093,7.678393,7.808965,8.198597,8.27667,8.545045,7.574263,7.29088,7.588731,7.689463,7.06514,7.067743,6.849415,6.807436,9.748175,9.862118,6.643224,7.15987,6.794788,7.032373,6.158554,6.067121,8.3189,8.668065,6.20648,5.960747,6.620759,7.083832,5.666085,6.335855,10.092744,10.20074,5.420522,5.78689,5.426959,5.40901,4.281461,5.402309,7.447074,7.166001,7.957117,7.46314,7.711693,7.020719
579.737912897478/850.524090806082,7.683156,8.011555,7.89297,7.818433,8.369946,8.589382,10.214389,10.010666,7.127474,7.037474,7.397176,6.991881,6.632227,7.277682,10.51201,10.200738,5.43667,5.912244,7.22813,7.061697,6.752148,6.607275,9.50138,9.328443,5.255754,5.346256,7.578291,7.496569,6.437567,5.664947,9.820213,9.597191,4.927365,5.886583,7.064398,7.295687,5.308102,6.139348,9.059834,9.515007,7.892036,7.750148,7.832257,8.074079,7.891701,7.825423
598.589266592996/426.300292246602,8.81026,8.041302,7.651969,7.745505,7.646699,7.61365,7.106788,7.146539,8.006583,8.345547,6.317572,6.116654,5.583656,6.45465,5.77692,6.507917,10.317351,10.088678,7.520944,7.942308,8.165191,7.822965,5.035917,6.039649,9.695286,9.637751,8.06136,7.749936,8.458801,7.671077,4.845127,5.206049,9.160076,9.344184,7.227368,7.021082,6.853547,7.819576,4.25078,4.760676,7.749936,8.011896,7.876232,8.141192,8.10701,7.78355
664.859475654468/1078.59990293078,8.117876,8.69337,8.025417,9.0003,9.39391,9.461622,8.339404,8.545045,8.823979,8.413291,8.856215,9.018644,8.233039,8.385415,9.183011,9.970586,9.834542,9.401359,8.635295,8.894891,8.730262,8.952132,9.446904,9.675379,9.5203,9.615959,9.019702,8.704652,8.373533,8.687762,8.854154,9.346791,8.484434,8.371874,8.995797,8.77766,8.835907,8.528377,9.054294,9.04846,8.992212,9.14374,9.024874,8.64298,8.845975,8.906707
562.106491356565/448.16685926961,16.98465,16.64182,16.26404,16.00037,16.32856,15.92283,16.49937,16.18613,16.05039,15.46986,15.5385,15.37094,15.03383,14.83933,14.87777,14.65018,14.97835,14.9159,14.98267,14.89456,14.47033,14.45294,13.70528,13.60144,13.98664,13.62311,14.48445,14.26721,13.94874,13.42701,13.5694,13.46036,14.10006,14.09987,14.07531,13.9105,13.3876,13.41236,13.06685,13.05283,14.57938,14.79936,14.58515,14.60558,14.45804,14.16491
663.412385639391/788.364813750522,8.81026,8.766432,8.440448,9.180872,9.208555,9.448202,8.796038,8.832895,9.217064,8.704732,9.417237,9.175339,8.67377,8.473132,10.089461,9.708936,9.748463,9.611135,8.758889,9.145516,8.842919,8.733141,9.385239,9.586984,9.743864,9.767751,8.932617,9.217467,8.934623,8.764889,9.265641,8.87488,8.853365,9.331937,9.072846,9.355929,8.880183,8.8117,9.051567,9.193109,8.832895,8.887892,9.276598,8.944399,8.659483,8.882466
560.421293024431/736.361956809863,7.90491,8.259478,7.584857,7.900779,7.680645,8.291705,7.872287,7.745972,7.320107,8.054503,7.93459,8.10663,7.351106,8.19814,6.700055,7.525987,8.237812,7.890824,8.388443,8.164113,9.041899,8.794467,7.907115,7.919908,8.487842,7.95466,8.979922,8.932044,9.398579,9.396603,8.318567,8.067326,8.123235,8.390035,6.743903,7.410327,9.133792,9.244447,9.049308,8.741596,7.172159,8.114366,8.16245,7.141314,7.994486,7.63347
369.476598371539/542.024448131609,10.705626,9.569118,8.53354,8.745488,10.166042,9.166167,9.91409,9.60989,10.450148,10.810005,8.085842,7.361593,11.425231,10.761588,9.124169,9.082739,10.214622,9.597532,8.997016,9.344719,9.357701,9.183016,8.422911,8.830833,9.123299,8.838283,8.394617,8.305324,9.191204,9.348954,8.334296,7.902063,9.84229,9.136925,6.999176,7.38802,8.318978,8.479504,8.33683,7.506294,8.797015,8.518783,8.682833,9.034898,8.860182,8.906181
552.450276692708/871.192720818808,7.927629,12.162905,8.464695,10.057663,9.719451,10.532349,9.472515,9.538842,8.985407,9.152896,8.636693,8.900718,8.661877,9.228196,8.914074,9.324533,8.341454,8.338984,8.383611,10.098789,10.253921,9.947463,8.908592,8.655173,9.489208,9.626022,9.489593,9.271364,10.039702,9.933297,8.788312,9.08721,8.450068,8.688511,8.524378,8.227321,9.296995,9.454223,9.027706,9.050806,8.515973,8.493859,8.529212,10.033237,9.483365,8.828964
670.955685264186/1087.63264637931,8.194411,8.511719,8.192524,8.040953,10.142023,9.336092,8.682994,9.148101,8.756316,9.290187,9.228629,9.292295,8.785934,8.401915,9.962997,10.096426,9.593919,9.89064,8.964898,9.276419,8.820392,9.17226,9.748617,9.729145,9.831679,9.741722,8.897482,9.395263,8.7183,9.085444,9.284822,9.286519,9.106675,8.929561,9.186224,9.063835,8.985992,9.335076,9.014763,9.264381,8.879588,9.251996,9.118854,9.435315,8.969762,8.918316
31.3191227829247/919.796663259151,11.782593,10.699569,13.221682,12.986017,10.492175,10.912125,12.151595,12.308144,11.741532,11.734839,12.325786,12.156892,11.980923,11.867913,11.352673,11.536574,11.170818,10.755819,11.560613,11.349874,11.142447,11.039075,11.061201,11.328595,9.874346,10.235407,10.725854,10.807747,10.479454,10.616444,10.765813,10.453866,10.882723,10.63801,10.259378,10.480023,9.317235,9.771271,10.04413,9.911784,11.27835,10.852584,11.14554,11.035017,11.205708,11.385145
550.142821194833/870.201656473646,8.77335,12.381814,11.28558,12.819439,11.158925,11.900426,8.872273,8.874136,9.835891,10.157152,9.543717,9.938905,10.666459,10.349787,9.990176,11.120114,9.852495,10.090313,9.97312,9.86278,11.368647,11.19784,10.149567,10.257732,11.016636,10.810529,10.469094,10.638952,11.547908,11.396343,10.083037,9.93396,10.223849,10.507257,8.874924,9.070942,10.9146,10.776009,9.756531,9.920269,9.961171,10.288851,9.907409,9.918695,11.333806,9.983536
31.28633328488/1334.70797023077,11.527909,10.992823,12.975762,13.065256,10.81678,10.530586,12.458412,11.990147,11.780035,11.295929,12.499103,12.118331,12.374883,12.136334,11.857782,11.081976,11.231253,10.73116,11.92848,11.545439,11.127777,11.300633,11.296494,11.366366,10.158467,9.828229,10.472364,10.706107,10.020743,10.218794,10.408892,10.547616,11.031089,10.991615,10.62411,10.375833,9.224637,9.880456,10.283452,10.061369,11.618367,11.275516,11.340752,11.392599,10.970584,11.287197
624.862875419751/718.420889501918,7.854761,8.492674,8.520683,8.118954,8.161259,8.13301,8.861626,8.459654,8.521523,9.150065,9.611554,9.546809,9.255447,9.666503,10.460959,10.770412,10.901152,10.781329,10.504906,10.743201,10.47787,10.312174,12.447848,12.488806,12.30416,12.188729,12.043608,12.000045,11.499196,11.554476,13.717131,13.578132,12.849596,12.742384,12.638579,12.549893,12.076715,11.897428,14.746487,14.904291,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
707.404141610129/714.388291740441,13.992159,13.599125,13.182121,12.646997,13.608732,12.775515,14.258976,13.938537,12.507257,12.200217,12.437758,12.403562,11.34265,11.483636,12.027893,12.179814,11.588186,11.345755,11.619545,11.726255,9.605017,10.138458,11.553535,11.683844,10.350517,10.525676,10.277911,11.032011,9.629575,9.447909,10.951713,10.854384,10.707641,10.556521,10.971931,10.289257,9.549668,9.48324,10.616402,10.51593,11.515788,11.496711,11.299976,11.471668,11.223798,11.274858
31.2862978483501/877.314969289043,12.430555,12.182362,12.767473,12.802986,11.612251,11.535322,12.906893,12.517521,12.106809,11.840683,11.997184,12.033772,12.571573,12.114194,11.695691,11.761268,11.401819,11.007683,11.416463,11.092532,10.992282,10.87174,10.971904,11.098694,9.963008,10.389479,10.597873,10.575759,10.061258,9.744307,10.030712,10.644205,10.638731,10.49412,10.309518,10.451504,8.831947,9.780808,9.930573,9.870699,11.415593,11.17504,11.289376,10.910493,11.60164,11.414664
653.589859811883/451.262994570008,8.509457,8.470979,9.075159,9.180872,9.137002,9.304247,8.861925,9.079377,8.074968,8.25514,9.267375,9.315754,9.056153,9.279496,9.408699,9.074145,8.92906,9.365211,9.239094,9.146529,9.489618,9.801215,7.938887,7.960977,9.632255,9.581366,10.486523,10.534115,10.570875,10.435059,8.679308,8.822106,9.602654,9.782138,11.644551,11.284759,11.741843,11.741309,10.147206,10.212342,9.716664,9.691556,9.795413,9.654164,9.915531,9.720442
596.648002758361/748.250423819573,8.651741,8.748511,8.099416,8.067425,8.9133,9.046586,8.927379,8.231388,8.982232,8.784655,8.674644,8.358782,8.57089,9.559798,9.650158,9.50865,9.481507,9.507576,8.38026,8.329756,9.361091,9.56401,9.093413,9.31688,10.040226,9.917812,9.796673,9.55442,10.207121,9.700921,8.47657,8.71029,9.77362,9.207647,7.7722,7.635173,9.289034,9.672049,8.641569,8.119701,9.106602,8.714525,9.247531,8.708674,8.662008,8.861541
49.709877382245/445.814335576318,9.056899,9.520158,12.195629,11.884713,9.009247,8.91619,11.327077,10.910128,9.601986,10.093338,10.878356,10.642958,11.361921,10.874276,10.252845,10.070359,10.458875,10.341877,11.005198,10.297977,10.031958,10.030256,10.28423,9.848204,9.078285,9.306755,9.63469,9.476554,9.037555,8.651503,9.611421,9.643042,9.693556,9.326483,9.670173,9.186885,7.829427,8.13224,8.982164,9.21048,10.52777,10.152037,10.133774,10.098477,10.407783,10.080093
281.488929614686/329.122485340944,16.67744,16.98838,15.88529,15.74664,16.25545,16.56225,16.53404,16.74199,15.54121,15.47408,14.66339,15.06958,14.73834,14.93237,15.06727,15.05045,14.30846,14.60937,14.07733,14.3978,14.23681,14.28419,13.68832,13.38075,13.1916,12.99977,14.16467,13.98463,13.42645,13.2849,13.09721,13.09765,12.98504,13.69435,13.50475,13.76401,12.5203,12.68409,12.78061,13.36098,13.93138,14.47071,14.43035,14.61081,14.5384,14.25378
607.727364523369/819.358903117499,14.09484,13.33749,12.94479,12.81541,13.32807,12.34942,13.8364,13.21136,12.59999,12.30441,12.4874,12.25492,11.85833,11.39191,12.01659,11.77235,11.90986,11.45099,11.45459,11.31926,10.6026,10.52159,11.06949,11.28443,10.57002,10.12309,11.24942,10.97791,10.39383,10.26522,10.84804,10.66935,10.82341,10.63852,11.11135,10.59271,10.06965,10.35049,10.42795,10.18054,11.41032,11.37158,11.50035,11.0912,11.28666,11.01118
50.8466666790477/194.945776674486,9.86407,9.674506,18.795516,18.311011,7.839338,8.166177,16.174769,15.635398,14.755677,13.974371,16.311356,16.427573,17.846659,17.782841,15.988303,15.371446,16.717179,16.678118,17.446185,17.427871,17.333344,17.230238,17.161647,17.034296,16.1487,15.745147,15.504283,15.291033,14.509636,13.704962,16.724114,16.598128,16.307267,16.328299,15.661705,15.30469,12.797959,12.863135,15.479223,15.529617,16.688992,16.827475,16.798801,16.762595,16.634566,16.280017
531.577545701412/562.204122855955,7.885921,8.013298,7.999883,8.192954,9.022544,8.91619,8.443026,7.857,8.214896,8.570488,8.143396,8.646964,7.583242,7.7541,8.390011,8.661069,9.317576,8.981368,8.69503,8.63936,8.730134,8.540372,8.732877,8.606702,8.938178,9.258661,8.671249,8.992592,9.037075,8.956474,8.980238,8.943061,9.02592,10.123767,9.279302,9.404749,8.708512,9.01089,8.971609,9.759266,8.689415,8.687927,8.521286,9.416378,8.889306,8.556089
175.975826464201/385.053863825574,7.785614,8.070447,7.236951,7.643628,7.777939,8.166177,7.106788,7.774541,7.364498,8.14199,7.501868,8.427558,7.520596,8.33905,7.947471,8.578229,8.967376,8.668045,8.290362,7.904869,9.395374,9.256642,8.77619,9.224064,9.255276,9.01357,9.291261,8.634048,8.964746,8.715808,8.904006,8.380692,8.764035,8.499995,9.489888,9.055901,9.43763,9.614309,8.964721,8.782078,8.650545,8.52035,8.896228,8.269257,7.810354,9.210496
358.108267265454/597.157648735014,7.451207,7.918448,7.550093,7.777925,8.185105,8.4881,7.592188,7.593974,8.827866,8.575843,7.333753,8.811355,7.758678,8.146408,7.814575,7.803883,8.10753,9.891788,8.765356,9.443277,9.633741,8.865511,8.281374,8.39743,9.507278,9.339006,9.629511,9.738695,9.516686,9.416071,9.053814,8.635547,8.535265,9.257133,9.299783,9.632321,9.641833,9.623363,7.517282,8.259654,8.242456,8.458386,8.885656,8.713632,8.880733,8.604681
801.154845120614/297.241815378999,15.71231,14.95675,14.45179,14.36471,14.6498,13.96778,15.02062,14.06977,14.09091,13.74154,14.22813,13.98973,13.66221,13.0642,13.34645,12.83969,13.7713,13.31729,13.38719,13.00884,13.41279,13.13208,12.18077,12.10532,12.49202,12.38033,12.78418,12.49837,12.63277,12.41383,12.10659,11.88336,12.72591,12.66566,12.92574,12.22859,12.33006,12.53713,11.93074,11.43205,13.17967,12.95024,12.93326,12.77301,12.8067,12.85799
557.972031978139/837.215788606083,9.094174,8.448953,8.214892,7.986507,8.36289,8.166177,7.642812,7.528389,8.418108,7.984964,8.776991,8.876944,8.330078,8.449576,8.231496,8.571128,8.935306,8.352276,9.02707,8.213182,8.76807,9.326423,8.220302,8.051467,8.157059,8.494069,9.352453,9.289011,9.449183,9.973579,8.711816,8.727174,8.335146,8.709949,7.933109,7.665117,9.087124,9.188557,8.959988,8.482579,7.935612,8.306123,8.286697,8.476171,8.577773,8.065357
1075.51304867393/508.371875940227,13.671916,12.187218,12.540513,11.543112,13.518643,11.87783,13.291689,11.938661,11.982885,11.101705,12.459359,11.46643,12.073394,11.208206,11.234826,10.671443,11.543144,11.038944,11.396319,10.499728,10.434178,10.024183,10.517637,10.40488,9.636015,9.092686,10.580043,10.347263,9.90395,8.802235,10.381251,9.526344,10.624433,9.188548,10.837094,9.69,10.007252,9.568651,10.274856,9.256499,10.967499,10.616114,10.612565,9.77694,9.841898,9.551409
180.340227896707/525.980682618168,7.4195,7.51407,7.684389,7.040997,8.009259,8.751132,7.244282,7.056348,7.81194,7.546401,8.29262,8.019782,7.632149,7.788337,8.908658,8.950317,8.415984,8.658522,8.076217,8.162773,9.542248,8.667065,8.502382,9.293173,9.470372,8.831964,9.487841,9.425155,9.056304,9.365256,9.10459,9.250881,8.464444,8.592763,9.515393,9.536198,9.634044,10.060016,8.813099,8.919598,8.897933,8.39301,9.009742,8.918341,7.736588,8.50001
551.552766498766/593.204913983592,8.834508,8.674511,8.700313,8.661097,8.795593,9.028664,8.735219,9.152374,8.061548,7.948895,8.017867,7.961484,7.924548,7.701871,7.918619,8.181453,9.017859,9.669241,8.455716,8.589713,10.885348,10.891748,9.607781,9.581778,13.212908,12.692781,11.726759,11.413505,13.307189,12.589009,12.3726,12.392424,10.478814,10.949536,13.062283,12.922497,14.648901,14.444174,12.471023,13.18281,11.375114,12.100879,11.776247,11.690682,11.977162,11.508855
565.406529476768/836.342780669288,9.146784,8.976004,8.456483,8.643609,8.902773,9.613625,8.739501,8.559078,8.048002,7.645123,7.987903,7.701429,7.829435,7.767643,7.293682,7.648682,7.309872,7.431373,7.478614,7.197343,6.953761,6.792078,7.380244,7.432537,6.195554,6.914624,6.791339,6.855863,7.154531,6.838278,7.957352,8.520009,6.62917,7.115827,6.661075,7.284098,6.135952,6.287307,8.923166,8.727056,7.312923,7.013319,7.428757,7.281702,7.550544,7.570842
